clause_text,clause_type,source,contract_type,source_split,dataset_origin
"1. Demise and Description Landlord hereby leases to Tenant, and Tenant accepts, the commercial unit described in Exhibit A together with non-exclusive rights over common accessways. The leasehold estate includes only the areas expressly identified and excludes the roof, structure and service rooms unless otherwise stated.",Lease Grant,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
2. Initial Term The initial term is five years beginning on the commencement date recorded in the delivery certificate. Tenant may exercise one renewal option for an additional three-year term by giving not less than nine months' prior written notice and provided no uncured event of default exists.,Termination / Default,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"3. Base Rent Tenant shall pay annual base rent in equal monthly installments in advance without deduction, setoff or demand. Base rent increases on each anniversary by the percentage or fixed amount stated in the rent schedule.",Payment / Rent,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"4. Additional Rent Tenant shall pay as additional rent its proportionate share of operating expenses, common-area maintenance charges, real estate taxes and insurance costs allocated to the building. Landlord shall provide an annual reconciliation with reasonable supporting detail.",Insurance,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
5. Permitted Use Tenant may use the premises solely for the operation of a professional services office and for no other purpose without Landlord's prior written approval. Tenant shall obtain all licenses and shall comply with laws applicable to its specific business operations.,Use of Premises,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"6. Delivery and Condition Landlord shall deliver possession in broom-clean condition with base building systems serving the premises operational. Except for express Landlord work, Tenant accepts the premises in their existing condition after completing its own inspection.",Possession / Surrender,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"7. Tenant Improvements Tenant may construct approved improvements only in accordance with plans reviewed by Landlord and all governmental requirements. Alterations affecting structure, exterior appearance, building systems or life-safety equipment require specific written consent and qualified contractors.",Alterations / Improvements,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"8. Repairs Tenant shall maintain the interior, non-structural components, fixtures and equipment exclusively serving the premises. Landlord shall maintain the foundation, roof, exterior walls and common building systems, except for damage caused by Tenant or its contractors.",Repairs / Maintenance,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"9. Compliance with Laws Each party shall comply with laws applicable to its obligations. Tenant is responsible for occupancy permits and business-specific accessibility requirements triggered by Tenant's use or alterations, while Landlord remains responsible for base-building compliance not caused by Tenant.",Alterations / Improvements,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"10. Insurance Tenant shall maintain commercial general liability, property, workers' compensation and business interruption insurance in commercially reasonable amounts. Landlord and its property manager shall be named as additional insureds where customary, and certificates shall be delivered before occupancy.",Insurance,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"11. Indemnity Tenant shall indemnify and hold harmless Landlord from third-party claims arising from Tenant's negligence, willful misconduct, business operations or breach, except to the extent caused by Landlord's negligence or willful misconduct. Landlord provides a reciprocal indemnity for claims arising from its own misconduct.",Liability / Indemnity,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"12. Assignment Tenant shall not assign the lease, sublet all or any portion, license occupancy, or transfer a controlling ownership interest without Landlord's prior written consent. A permitted transfer does not release Tenant unless Landlord expressly agrees in writing.",Assignment / Subletting,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"13. Utilities Tenant shall contract and pay for separately metered utilities and telecommunications. Shared utility costs may be allocated based on submetering, usage estimates or rentable area, provided the allocation method is applied consistently.",Taxes / Utilities,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"14. Damage and Casualty If a casualty materially impairs use of the premises, rent shall abate proportionately during restoration. Either party may terminate if restoration cannot reasonably be completed within the outside restoration period stated in a written architect's estimate.",Termination / Default,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"15. Eminent Domain If all or a material part of the premises is taken by governmental authority, either party may terminate. Awards for Landlord's property interest belong to Landlord, while Tenant may pursue a separate claim for relocation costs and trade fixtures where legally permitted.",Termination / Default,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"16. Events of Default Events of default include failure to pay rent after required notice, failure to perform a material covenant after any applicable cure period, abandonment, insolvency events to the extent enforceable, or an unauthorized transfer.",Termination / Default,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"17. Remedies Following an uncured default, Landlord may terminate possession, recover sums due, re-enter as permitted by law, and pursue damages subject to the duty to mitigate where applicable. Remedies are cumulative but no remedy permits an unlawful forfeiture.",Liability / Indemnity,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"18. Surrender and Holdover At expiration, Tenant shall surrender vacant possession, remove movable trade fixtures, repair removal damage and return access credentials. A holdover accepted by Landlord creates only a month-to-month tenancy at the stated holdover rent unless the parties sign a renewal.",Possession / Surrender,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"19. Notices Formal notices shall be delivered to the addresses stated in the lease by personal delivery, nationally recognized overnight courier, or certified mail. Operational communications by email do not constitute formal notice unless expressly acknowledged.",Notice,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"20. Dispute Resolution Before filing suit, senior representatives shall meet in good faith to attempt resolution. The parties may agree to mediation, but either party may seek emergency injunctive relief or pursue claims in a court having jurisdiction over the premises.",Dispute Resolution,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"21. Environmental Matters Tenant shall not generate, release or store hazardous substances except ordinary office products used in lawful quantities. Tenant shall promptly report any spill and remediate contamination caused by its operations.",Use of Premises,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"22. Confidentiality Non-public financial statements, operating data and proprietary information exchanged in connection with this lease shall be kept confidential, except for disclosure to lenders, advisers, insurers or governmental authorities having a legitimate need to know.",Confidentiality,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"EXECUTION This agreement is executed by duly authorized representatives of Landlord and Tenant. Electronic signatures and counterparts shall be valid, and each signatory represents that he or she has authority to bind the party identified below. LANDLORD / LESSOR: ________________________________ DATE: _______________ TENANT / LESSEE: __________________________________ DATE: _______________ WITNESS (if required): _____________________________ DATE: _______________",Signature / Execution,commercial_lease_training_01.pdf,Commercial Lease,train,Phase 5 Auto-Labeled Lease PDFs
"1. Recitals WHEREAS the Lessor is seized and possessed of the land and hereditaments described in the Schedule, and WHEREAS the Lessor has agreed to grant a lease thereof to the Lessee upon the covenants and conditions hereinafter appearing.",Lease Grant,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
"2. Operative Grant NOW THIS DEED WITNESSETH that in consideration of the rent reserved and the covenants of the Lessee, the Lessor hereby demises unto the Lessee ALL THAT parcel of land described in the Schedule TO HOLD for the term stated below.",Lease Grant,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
"3. Habendum and Term The demised premises shall be held for a term of twenty-one years commencing on the first day of [month and year], subject nevertheless to earlier determination in accordance with the proviso for re-entry and the other provisions of this deed.",Termination / Default,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
"4. Reserved Rent The Lessee shall yearly and every year pay the rent reserved by equal quarterly payments in advance without any deduction, the first payment being apportioned from the commencement date.",Term and Renewal,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
"5. Rates and Outgoings The Lessee shall bear and discharge all rates, assessments, duties, charges for water and utilities, and other outgoings imposed upon the occupier, except taxes assessed solely upon the Lessor's ownership interest.",Taxes / Utilities,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
"6. Repair Covenant The Lessee shall at all times keep the demised premises, walls, roofs, drains, fixtures and appurtenances in good and substantial repair and condition, fair wear and damage by insured risks excepted where the insurance proceeds are made available for reinstatement.",Insurance,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
"7. Decoration The Lessee shall paint and decorate the interior at reasonable intervals and in the final year of the term, using materials and workmanship of suitable quality.",Repairs / Maintenance,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
"8. Alterations The Lessee shall not pull down, alter, add to or erect any building or structure upon the demised premises without the previous consent in writing of the Lessor and all approvals required by law.",Alterations / Improvements,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
"9. User Covenant The Lessee shall use the demised premises only for the permitted trade stated in the Schedule and shall not carry on any noisy, noxious, dangerous or unlawful occupation.",Lease Grant,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
"10. Alienation The Lessee shall not assign, underlet, charge or part with possession of the whole or any part of the demised premises without the previous written consent of the Lessor, such consent being subject to lawful conditions.",Assignment / Subletting,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
"11. Insurance The Lessor shall insure the buildings against the usual insured risks for their full reinstatement value, and the Lessee shall reimburse the premium as additional rent within fourteen days after written demand supported by evidence of payment.",Insurance,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
"12. Indemnity The Lessee shall indemnify the Lessor against liabilities, proceedings, costs and claims occasioned by the negligent act, omission or default of the Lessee, its servants, agents, licensees or invitees.",Liability / Indemnity,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
13. Inspection The Lessee shall permit the Lessor and its surveyors upon reasonable notice to enter and inspect the state of repair and to serve notice specifying defects for which the Lessee is responsible.,Repairs / Maintenance,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
"14. Compliance Notice Within a reasonable time after service of a repair notice, the Lessee shall commence and diligently complete the required works, failing which the Lessor may enter, carry out the works and recover the reasonable cost as a debt.",Repairs / Maintenance,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
15. Quiet Enjoyment The Lessee paying the rent and observing the covenants may peaceably and quietly hold and enjoy the demised premises during the term without any lawful interruption by the Lessor or any person claiming under the Lessor.,Quiet Enjoyment,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
"16. Proviso for Re-entry If rent is in arrears for twenty-one days after becoming due, whether formally demanded or not, or if the Lessee materially breaches a covenant and fails to remedy after required notice, the Lessor may re-enter as permitted by law and the term shall determine.",Termination / Default,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
"17. Damage by Insured Risk Where the premises are rendered unfit by an insured risk, the rent or a fair proportion thereof shall be suspended until reinstatement, unless insurance recovery is prejudiced by the Lessee's act or default.",Insurance,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
"18. Yielding Up At the expiration or earlier determination of the term, the Lessee shall yield up the premises with vacant possession in the repair and condition required by this deed and shall remove signs and movable fixtures if directed.",Termination / Default,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
"19. Notices A notice required by this deed shall be in writing and may be served personally, by registered post, or by another method recognized by the law governing the premises.",Notice,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
"20. Schedule The Schedule shall identify the premises, plan reference, commencement date, annual rent, permitted use, insurance contribution, and any special rights of way or reservations.",Insurance,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
"EXECUTION IN WITNESS WHEREOF, the parties have executed and delivered this deed on the date first written above. The execution of this instrument may occur in counterparts, each counterpart being treated as an original. Signed, sealed and delivered by the Lessor in the presence of a witness, and signed, sealed and delivered by the Lessee in the presence of a witness. LANDLORD / LESSOR: ________________________________ DATE: _______________ TENANT / LESSEE: __________________________________ DATE: _______________ WITNESS (if required): _____________________________ DATE: _______________",Signature / Execution,formal_lease_deed_training_01.pdf,Formal Lease Deed,train,Phase 5 Auto-Labeled Lease PDFs
1. Creation of Tenancy Landlord rents the dwelling to Tenant on a month-to-month basis beginning on [date]. The tenancy continues for successive monthly periods until terminated by either party through written notice that complies with the minimum period required by local law.,Term and Renewal,month_to_month_training_01.pdf,Month-to-Month Tenancy,train,Phase 5 Auto-Labeled Lease PDFs
"2. Monthly Rent Rent of [amount] is due on the first calendar day of each month. If the tenancy begins on another date, the first payment shall be prorated, and later payments remain due on the first unless the parties sign a different written schedule.",Payment / Rent,month_to_month_training_01.pdf,Month-to-Month Tenancy,train,Phase 5 Auto-Labeled Lease PDFs
3. Deposit Tenant shall provide a refundable deposit of [amount]. No part of the deposit may be treated as the last month's rent without Landlord's written consent.,Alterations / Improvements,month_to_month_training_01.pdf,Month-to-Month Tenancy,train,Phase 5 Auto-Labeled Lease PDFs
"4. Rent Changes Landlord may change rent only through advance written notice and only to the extent permitted by applicable rent-control, consumer-protection or tenancy law.",Term and Renewal,month_to_month_training_01.pdf,Month-to-Month Tenancy,train,Phase 5 Auto-Labeled Lease PDFs
5. Occupancy The dwelling may be occupied by Tenant and the listed household members. Tenant shall notify Landlord before adding a long-term occupant and shall not create overcrowded or unsafe conditions.,Use of Premises,month_to_month_training_01.pdf,Month-to-Month Tenancy,train,Phase 5 Auto-Labeled Lease PDFs
"6. Residential Use The property is for ordinary residential use. Home-office activity is allowed only if it is lawful, does not create customer traffic or nuisance, and does not materially increase utility consumption or insurance risk.",Insurance,month_to_month_training_01.pdf,Month-to-Month Tenancy,train,Phase 5 Auto-Labeled Lease PDFs
"7. Care of Property Tenant shall keep the premises sanitary, dispose of waste properly and notify Landlord promptly of conditions requiring repair. Tenant shall be responsible for damage caused by misuse or neglect.",Repairs / Maintenance,month_to_month_training_01.pdf,Month-to-Month Tenancy,train,Phase 5 Auto-Labeled Lease PDFs
"8. Landlord Maintenance Landlord shall maintain building systems, structural components and legally required habitability conditions, subject to reasonable access and any lawful allocation of minor maintenance duties.",Repairs / Maintenance,month_to_month_training_01.pdf,Month-to-Month Tenancy,train,Phase 5 Auto-Labeled Lease PDFs
9. Locks and Security Tenant shall not replace or add locks without permission except where emergency or safety law permits. Tenant shall provide Landlord with any lawfully required access key.,Repairs / Maintenance,month_to_month_training_01.pdf,Month-to-Month Tenancy,train,Phase 5 Auto-Labeled Lease PDFs
"10. Pets No pet may be kept without written approval, except an assistance animal protected by law. Any approved pet must be controlled and may not damage property or disturb neighbors.",Alterations / Improvements,month_to_month_training_01.pdf,Month-to-Month Tenancy,train,Phase 5 Auto-Labeled Lease PDFs
11. Smoking Smoking and vaping are prohibited inside the dwelling and in any designated smoke-free common area. This restriction does not guarantee a smoke-free environment.,General Obligation,month_to_month_training_01.pdf,Month-to-Month Tenancy,train,Phase 5 Auto-Labeled Lease PDFs
"12. Parking Any assigned parking space is personal to Tenant and may not be transferred. Vehicles must be registered, operable and parked in compliance with posted rules.",Assignment / Subletting,month_to_month_training_01.pdf,Month-to-Month Tenancy,train,Phase 5 Auto-Labeled Lease PDFs
"13. Entry and Inspection Landlord may enter on lawful notice for repairs, inspections, pest treatment, appraisal or showing, and may enter without prior notice in a genuine emergency.",Repairs / Maintenance,month_to_month_training_01.pdf,Month-to-Month Tenancy,train,Phase 5 Auto-Labeled Lease PDFs
"14. Subletting Tenant shall not sublet, assign, host paying guests, or list the premises on a short-term rental platform without prior written approval.",Assignment / Subletting,month_to_month_training_01.pdf,Month-to-Month Tenancy,train,Phase 5 Auto-Labeled Lease PDFs
15. Termination by Tenant Tenant may end the tenancy by giving written notice at least as long as required by governing law. Rent remains payable through the lawful termination date.,Termination / Default,month_to_month_training_01.pdf,Month-to-Month Tenancy,train,Phase 5 Auto-Labeled Lease PDFs
"16. Termination by Landlord Landlord may terminate only for a reason and through a procedure permitted by law, including any required cause, notice, cure opportunity and court process.",Termination / Default,month_to_month_training_01.pdf,Month-to-Month Tenancy,train,Phase 5 Auto-Labeled Lease PDFs
"17. Abandonment If Tenant appears to have abandoned the premises, Landlord may secure and recover possession only under the applicable abandonment rules and may not unlawfully dispose of personal property.",Possession / Surrender,month_to_month_training_01.pdf,Month-to-Month Tenancy,train,Phase 5 Auto-Labeled Lease PDFs
"18. Quiet Possession Tenant is entitled to quiet possession without unreasonable disturbance, subject to Landlord's lawful rights of access and the rights of other residents.",Quiet Enjoyment,month_to_month_training_01.pdf,Month-to-Month Tenancy,train,Phase 5 Auto-Labeled Lease PDFs
19. Notices Each party shall keep a current mailing address and email address for routine communication. Statutory notices must be served by a legally authorized method.,Notice,month_to_month_training_01.pdf,Month-to-Month Tenancy,train,Phase 5 Auto-Labeled Lease PDFs
"EXECUTION The parties sign below to acknowledge that they have read and accepted this agreement. Signatures may be handwritten or electronic, and counterparts together constitute one instrument. LANDLORD / LESSOR: ________________________________ DATE: _______________ TENANT / LESSEE: __________________________________ DATE: _______________ WITNESS (if required): _____________________________ DATE: _______________",Signature / Execution,month_to_month_training_01.pdf,Month-to-Month Tenancy,train,Phase 5 Auto-Labeled Lease PDFs
"1. Parties and Premises The Landlord lets to the Tenant the dwelling described as [property address], together with the ordinary right to use the entrances, corridors, shared grounds and appurtenances serving the dwelling. The premises are accepted for residential occupation only and no ownership interest is transferred.",Lease Grant,residential_lease_training_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"2. Term and Renewal The tenancy begins on [start date] and continues for twelve months unless earlier terminated in accordance with this agreement. Any renewal must be confirmed in writing, and continued occupation after expiry does not by itself create a new fixed term unless applicable law provides otherwise.",Governing Law,residential_lease_training_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"3. Rent The Tenant shall pay monthly rent of [amount] in advance on the first day of each month by the payment method designated by the Landlord. Rent is deemed paid when cleared funds are received, and partial payment does not waive any remaining balance.",Payment / Rent,residential_lease_training_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"4. Security Deposit The Tenant shall pay a security deposit of [amount]. The deposit may be applied to unpaid rent, damage beyond ordinary wear, cleaning required because of the Tenant's breach, or other lawful charges, subject to an itemized accounting and applicable deposit law.",Termination / Default,residential_lease_training_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"5. Late Payment If rent remains unpaid after any legally required grace period, the Landlord may impose a reasonable late charge stated in a written notice. Acceptance of a late charge does not prevent the Landlord from pursuing other lawful remedies for continuing default.",Payment / Rent,residential_lease_training_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"6. Use of Premises The premises shall be used only as a private residence by the Tenant and approved occupants. The Tenant shall not conduct unlawful activity, create a nuisance, store hazardous materials, or use the property in a manner that materially increases insurance risk.",Insurance,residential_lease_training_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"7. Occupants and Guests Only the persons identified in the tenancy record may reside at the premises. Guests may stay temporarily, but repeated or extended occupancy by a guest requires the Landlord's prior written consent where permitted by law.",Assignment / Subletting,residential_lease_training_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"8. Repairs and Maintenance The Tenant shall keep the interior reasonably clean, promptly report leaks or unsafe conditions, and use fixtures in a proper manner. The Landlord shall perform structural and other repairs allocated to the Landlord by law, except to the extent damage was caused by the Tenant or the Tenant's guests.",Repairs / Maintenance,residential_lease_training_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"9. Alterations The Tenant shall not paint, install fixtures, change locks, make structural alterations, or attach exterior equipment without the Landlord's prior written consent. Approved improvements become part of the premises unless the Landlord requires restoration at the end of the tenancy.",Alterations / Improvements,residential_lease_training_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"10. Utilities and Taxes The Tenant shall pay the utilities specifically allocated to the Tenant, including metered electricity, gas, internet and similar services. The Landlord shall remain responsible for real property taxes and any utility expressly identified as included in rent.",Taxes / Utilities,residential_lease_training_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"11. Insurance The Tenant is encouraged to maintain renter's insurance covering personal property and personal liability. The Landlord's insurance does not cover the Tenant's belongings, temporary accommodation, or losses for which the Tenant is responsible.",Insurance,residential_lease_training_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"12. Entry Upon reasonable notice, the Landlord may enter the premises to inspect, perform repairs, supply agreed services, show the property to prospective tenants or purchasers, or address a suspected emergency. No notice is required where immediate entry is reasonably necessary to protect persons or property.",Repairs / Maintenance,residential_lease_training_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"13. Assignment and Subletting The Tenant shall not assign this agreement, sublet any part of the premises, advertise the premises for short-term occupancy, or otherwise transfer possession without the Landlord's prior written consent, which may be withheld to the extent permitted by law.",Assignment / Subletting,residential_lease_training_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"14. Quiet Enjoyment So long as the Tenant pays rent and observes the material terms of this agreement, the Tenant may peaceably and quietly possess and enjoy the premises without unreasonable interference by the Landlord or persons claiming through the Landlord.",Quiet Enjoyment,residential_lease_training_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"15. Default and Termination A material failure to pay rent, serious damage, unlawful use, unauthorized transfer, or other substantial breach constitutes a default. The non-defaulting party may deliver any notice required by law and may terminate only after expiration of the applicable cure or notice period.",Termination / Default,residential_lease_training_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"16. Surrender At the end of the tenancy, the Tenant shall vacate, remove personal property, return all keys and access devices, and leave the premises reasonably clean, ordinary wear excepted. Property left behind may be handled in accordance with applicable abandoned-property law.",Possession / Surrender,residential_lease_training_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"17. Notices Notices under this agreement shall be in writing and delivered personally, by recognized courier, by certified mail, or by another method permitted by law. A notice is effective when delivered or deemed delivered under the governing legal rules.",Notice,residential_lease_training_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
18. Governing Law This agreement is governed by the law of the jurisdiction in which the premises are located. Any unenforceable provision shall be limited or severed without invalidating the remaining provisions.,Governing Law,residential_lease_training_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
THE LONDON BOROUGH OF EALING 1. SECURE TENANCY AGREEMENT This tenancy agreement explains the terms and conditions you must keep to and what you can expect from the landlord. If you do not understand anything in this agreement you should ask about it before you sign. In signing this agreement you are agreeing to keep to the terms and conditions and if you do not the landlord can take legal action to force you to do so and /or to repossess the property.,Lease Grant,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
1.1 This agreement is made between: THE LANDLORD The landlord is the London Borough of Ealing THE TENANT,Quiet Enjoyment,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
(S) The persons listed in the box below are the tenants and where a joint tenancy exists they are jointly and severally liable for all the terms of the tenancy. Surname First name DOB NI number,Liability / Indemnity,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
1.2 Tenancy commencement date This tenancy is a weekly periodic tenancy commencing on: …………………………..,Term and Renewal,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"1.3 The landlord’s main address The London Borough of Ealing Perceval House 14-16 Uxbridge Road London W5 2HL This is the landlord’s address for the serving of notices, including notices in court proceedings",Notice,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
1.4 False information If it is later discovered that false information has been given to gain the tenancy then action will be taken to repossess the property under schedule 2 ground 5 of the Housing Act 1985.,Confidentiality,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"1.5 Data protection Act Personal information supplied by a tenant to the Council for the purposes of entering into this agreement will not be disclosed to other persons except in accordance with the requirements of the Data Protection Act 1998. Examples of reasons why personal information may be disclosed are for the purposes of preventing or detecting crime, apprehending or prosecuting offenders or assessing or collecting tax.",Confidentiality,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
"1.6 Rights of third parties The provision of the Contracts (Rights of Third Parties) Act 1999 will not apply to this tenancy agreement, which means that not one of the terms of this tenancy agreement can be enforced other than by you or the landlord.",Assignment / Subletting,Sample_tenancy_agreement_01.pdf,Residential Lease,train,Phase 5 Auto-Labeled Lease PDFs
